Topics,Coherence
5,0.41176581109492894
6,0.4128489201530506
7,0.3926343108710575
8,0.38224136221339755
9,0.39244588867491
10,0.38610617707855754
11,0.3916407801515327
12,0.37050463067360634
13,0.39411848661993
14,0.3553945746691975
15,0.36768668466024823
16,0.37193708481354454
17,0.3525477152881781
18,0.36159179562082394
19,0.3569768490558842
20,0.36115233236240785
21,0.36096214487103934
22,0.3407753728930379
23,0.3441176341710546
24,0.3493277168234596
25,0.34615723861539904
26,0.33890941291498655
27,0.3398667352615214
28,0.32977095357253283
29,0.34083149900049514
